pixel_id module_id pixel_number_in_module cumulative_anode_current average_anode_current
1853 0 0 8.812238e+00 5.354570e-06
1838 0 1 1.004243e+01 6.285552e-06
1794 0 2 1.715137e+01 9.808967e-06
1839 0 3 1.653265e+01 9.748577e-06
1854 0 4 1.482652e+01 9.174861e-06
1795 0 5 1.746865e+01 9.973388e-06
1840 0 6 1.080065e+01 6.287518e-06
1836 1 0 1.765676e+01 1.262464e-05
1791 1 1 1.866366e+01 1.139825e-05
1718 1 2 1.811419e+01 1.047288e-05
1792 1 3 1.988520e+01 1.343634e-05
1837 1 4 1.035968e+01 7.548272e-06
1719 1 5 1.634708e+01 9.453720e-06
1793 1 6 1.800141e+01 1.124522e-05
1789 2 0 1.115814e+01 7.638997e-06
1715 2 1 9.730314e+00 5.809774e-06
1619 2 2 1.869284e+01 1.100356e-05
1716 2 3 1.023749e+01 6.124704e-06
1790 2 4 1.713706e+01 1.198592e-05
1620 2 5 1.849394e+01 1.092832e-05
1717 2 6 1.787489e+01 1.036832e-05
1713 3 0 1.927700e+01 1.234079e-05
1616 3 1 9.621880e+00 5.664210e-06
1502 3 2 1.831160e+01 1.101029e-05
1617 3 3 1.935010e+01 1.158488e-05
1714 3 4 1.618909e+01 1.116790e-05
1503 3 5 1.081559e+01 6.105431e-06
1618 3 6 1.047213e+01 6.117860e-06
1614 4 0 1.082984e+01 6.425919e-06
1499 4 1 9.964182e+00 6.008203e-06
1368 4 2 1.000373e+01 5.916936e-06
1500 4 3 9.719344e+00 5.677774e-06
1615 4 4 1.016971e+01 5.943474e-06
1369 4 5 9.973073e+00 5.905438e-06
1501 4 6 1.768234e+01 1.073058e-05
1497 5 0 1.670383e+01 1.029471e-05
1496 5 1 1.629638e+01 9.654312e-06
1365 5 2 1.032710e+01 5.825705e-06
1366 5 3 1.070339e+01 6.200891e-06
1498 5 4 1.054503e+01 6.549183e-06
1241 5 5 1.646294e+01 9.638549e-06
1367 5 6 1.029640e+01 6.195480e-06
1712 6 0 1.838979e+01 1.098657e-05
1711 6 1 1.979512e+01 1.155418e-05
1611 6 2 1.944471e+01 1.096595e-05
1612 6 3 1.690966e+01 9.546601e-06
1613 6 4 1.908209e+01 1.126608e-05
1494 6 5 1.790601e+01 1.009152e-05
1495 6 6 1.873140e+01 1.061801e-05
1835 7 0 8.456098e+00 9.368774e-06
1834 7 1 4.846246e+00 5.153107e-06
1786 7 2 5.361007e+00 5.471827e-06
1787 7 3 5.518324e+00 5.603385e-06
1788 7 4 5.752229e+00 6.350753e-06
1709 7 5 5.299349e+00 5.256506e-06
1710 7 6 5.665429e+00 5.655394e-06
1841 8 0 8.419339e+00 4.846883e-06
1798 8 1 9.150359e+00 5.225909e-06
1725 8 2 1.798264e+01 1.066114e-05
1799 8 3 1.006586e+01 5.852692e-06
1842 8 4 1.317823e+01 7.863530e-06
1726 8 5 1.773464e+01 1.045360e-05
1800 8 6 1.544275e+01 9.119557e-06
1796 9 0 1.910082e+01 1.078545e-05
1722 9 1 1.751123e+01 1.042907e-05
1626 9 2 1.725747e+01 1.008549e-05
1723 9 3 1.846412e+01 1.088965e-05
1797 9 4 1.783190e+01 1.019686e-05
1627 9 5 1.651216e+01 9.741214e-06
1724 9 6 1.717741e+01 1.023686e-05
1720 10 0 1.932325e+01 1.141966e-05
